,sepal length,sepal width,petal length,petal width,class,Prob
0,5.1,3.5,1.4,0.2,0,1.0
1,4.9,3.0,1.4,0.2,0,1.0
2,4.7,3.2,1.3,0.2,0,1.0
3,4.6,3.1,1.5,0.2,0,1.0
4,5.0,3.6,1.4,0.2,0,1.0
5,5.4,3.9,1.7,0.4,0,1.0
6,4.6,3.4,1.4,0.3,0,1.0
7,5.0,3.4,1.5,0.2,0,1.0
8,4.4,2.9,1.4,0.2,0,1.0
9,4.9,3.1,1.5,0.1,0,1.0
10,5.4,3.7,1.5,0.2,0,1.0
11,4.8,3.4,1.6,0.2,0,1.0
12,4.8,3.0,1.4,0.1,0,1.0
13,4.3,3.0,1.1,0.1,0,1.0
14,5.8,4.0,1.2,0.2,0,1.0
15,5.7,4.4,1.5,0.4,0,1.0
16,5.4,3.9,1.3,0.4,0,1.0
17,5.1,3.5,1.4,0.3,0,1.0
18,5.7,3.8,1.7,0.3,0,1.0
19,5.1,3.8,1.5,0.3,0,1.0
20,5.4,3.4,1.7,0.2,0,1.0
21,5.1,3.7,1.5,0.4,0,1.0
22,4.6,3.6,1.0,0.2,0,1.0
23,5.1,3.3,1.7,0.5,0,1.0
24,4.8,3.4,1.9,0.2,0,1.0
25,5.0,3.0,1.6,0.2,0,1.0
26,5.0,3.4,1.6,0.4,0,1.0
27,5.2,3.5,1.5,0.2,0,1.0
28,5.2,3.4,1.4,0.2,0,1.0
29,4.7,3.2,1.6,0.2,0,1.0
30,4.8,3.1,1.6,0.2,0,1.0
31,5.4,3.4,1.5,0.4,0,1.0
32,5.2,4.1,1.5,0.1,0,1.0
33,5.5,4.2,1.4,0.2,0,1.0
34,4.9,3.1,1.5,0.1,0,1.0
35,5.0,3.2,1.2,0.2,0,1.0
36,5.5,3.5,1.3,0.2,0,1.0
37,4.9,3.1,1.5,0.1,0,1.0
38,4.4,3.0,1.3,0.2,0,1.0
39,5.1,3.4,1.5,0.2,0,1.0
40,5.0,3.5,1.3,0.3,0,1.0
41,4.5,2.3,1.3,0.3,0,0.9999999999999931
42,4.4,3.2,1.3,0.2,0,1.0
43,5.0,3.5,1.6,0.6,0,1.0
44,5.1,3.8,1.9,0.4,0,1.0
45,4.8,3.0,1.4,0.3,0,1.0
46,5.1,3.8,1.6,0.2,0,1.0
47,4.6,3.2,1.4,0.2,0,1.0
48,5.3,3.7,1.5,0.2,0,1.0
49,5.0,3.3,1.4,0.2,0,1.0
50,7.0,3.2,4.7,1.4,1,0.9999308990475426
51,6.4,3.2,4.5,1.5,1,0.9998180205606408
52,6.9,3.1,4.9,1.5,1,0.9968193644797386
53,5.5,2.3,4.0,1.3,1,0.9165926436020294
